Product_ID,Product_Name,Category,Description,Price,Stock_Quantity,Supplier,Manufacturer,Warranty_Period,SKU,Release_Date,Dimensions,Weight,Color,Material
63,Water Purifier,2,Under-sink water purifier with filter,199.99,100,Supplier AAA,Manufacturer AAA,24 months,WP-01,2025-04-25,400x150x450 mm,5kg,White,Plastic
64,Portable Generator,2,Portable generator with 2KW output,499.99,50,Supplier BBB,Manufacturer BBB,24 months,PG-2KW,2025-05-01,600x400x500 mm,20kg,Black,Metal
65,Wireless Router,1,High-speed wireless router with 4 antennas,129.99,200,Supplier CCC,Manufacturer CCC,12 months,WR-4A,2025-05-10,250x150x50 mm,500g,Black,Plastic
66,Smart Doorbell,1,Wi-Fi enabled doorbell with camera,99.99,150,Supplier DDD,Manufacturer DDD,24 months,SD-01,2025-05-15,150x70x40 mm,300g,White,Plastic
67,Electric Blanket,2,Electric blanket with dual controls,79.99,100,Supplier EEE,Manufacturer EEE,12 months,EBL-01,2025-05-20,1800x1500 mm,2kg,Blue,Textile
68,Smart Water Leak Detector,2,Wi-Fi enabled water leak detector,49.99,200,Supplier FFF,Manufacturer FFF,12 months,SWLD-01,2025-05-25,100x100x30 mm,150g,White,Plastic
69,Electric Pressure Cooker,2,Electric pressure cooker with 6L capacity,129.99,70,Supplier GGG,Manufacturer GGG,24 months,EPC-6L,2025-06-01,350x350x350 mm,6kg,Silver,Stainless Steel
70,Electric Rice Cooker,2,Electric rice cooker with 3L capacity,59.99,120,Supplier HHH,Manufacturer HHH,12 months,ERC-3L,2025-06-10,300x300x250 mm,3kg,White,Plastic
71,Smart Garage Door Opener,2,Wi-Fi enabled smart garage door opener,199.99,80,Supplier III,Manufacturer III,24 months,SGDO-01,2025-06-15,300x200x100 mm,4kg,Black,Metal
72,Electric Fireplace,2,Electric fireplace with remote control,399.99,50,Supplier JJJ,Manufacturer JJJ,24 months,EF-01,2025-06-20,900x400x800 mm,20kg,Black,Metal
73,Smart Weather Station,2,Wi-Fi enabled weather station with app,149.99,100,Supplier KKK,Manufacturer KKK,12 months,SWS-01,2025-06-25,200x150x50 mm,1kg,White,Plastic
74,Smart Baby Monitor,1,Wi-Fi enabled baby monitor with camera,99.99,150,Supplier LLL,Manufacturer LLL,24 months,SBM-01,2025-07-01,150x100x50 mm,500g,White,Plastic
75,Electric Toothbrush Pro,3,Advanced electric toothbrush with app,79.99,200,Supplier MMM,Manufacturer MMM,12 months,ETP-01,2025-07-05,250x30x30 mm,200g,White,Plastic
76,Smart Glasses,1,Smart glasses with AR functionality,399.99,60,Supplier NNN,Manufacturer NNN,12 months,SG-01,2025-07-10,150x50x50 mm,100g,Black,Plastic
77,Smart Bike Lock,1,Smart bike lock with Bluetooth control,59.99,200,Supplier OOO,Manufacturer OOO,12 months,SBL-01,2025-07-15,200x70x30 mm,300g,Black,Metal
78,Electric Deep Fryer,2,Electric deep fryer with 3L capacity,79.99,100,Supplier PPP,Manufacturer PPP,12 months,EDF-3L,2025-07-20,300x300x350 mm,4kg,Black,Metal
79,Electric Can Opener,2,Automatic electric can opener,29.99,150,Supplier QQQ,Manufacturer QQQ,12 months,ECO-01,2025-07-25,200x100x150 mm,1kg,White,Plastic
80,Smart Pet Feeder,2,Wi-Fi enabled automatic pet feeder,99.99,80,Supplier RRR,Manufacturer RRR,24 months,SPF-01,2025-08-01,300x300x350 mm,5kg,White,Plastic
81,Digital Photo Frame,1,Wi-Fi enabled digital photo frame,129.99,100,Supplier SSS,Manufacturer SSS,12 months,DPF-01,2025-08-05,300x200x50 mm,1kg,Black,Plastic
82,Electric Griddle,2,Electric griddle with adjustable temperature,99.99,90,Supplier TTT,Manufacturer TTT,12 months,EGD-01,2025-08-10,500x300x100 mm,4kg,Black,Metal
83,Smart Floodlight,1,Wi-Fi enabled smart floodlight with camera,149.99,70,Supplier UUU,Manufacturer UUU,24 months,SFL-01,2025-08-15,250x150x100 mm,2kg,White,Metal
84,Electric Knife,2,Electric knife with serrated blades,49.99,150,Supplier VVV,Manufacturer VVV,12 months,EK-01,2025-08-20,300x50x50 mm,500g,Silver,Metal
85,Smart Bedside Lamp,2,Wi-Fi enabled smart bedside lamp,79.99,100,Supplier WWW,Manufacturer WWW,24 months,SBL-01,2025-08-25,150x150x300 mm,1kg,White,Plastic
86,Electric Chainsaw,2,Electric chainsaw with 18-inch blade,199.99,50,Supplier XXX,Manufacturer XXX,24 months,ECS-18,2025-09-01,900x300x150 mm,7kg,Black,Metal
87,Smart Light Strip,2,Wi-Fi enabled smart light strip,39.99,200,Supplier YYY,Manufacturer YYY,12 months,SLS-01,2025-09-05,5000x10x10 mm,300g,White,Plastic
88,Electric Treadmill,2,Electric treadmill with app control,599.99,30,Supplier ZZZ,Manufacturer ZZZ,24 months,ET-01,2025-09-10,1800x800x1500 mm,70kg,Black,Metal
89,Smart Door Sensor,1,Wi-Fi enabled door/window sensor,29.99,300,Supplier AAAA,Manufacturer AAAA,12 months,SDS-01,2025-09-15,100x50x20 mm,100g,White,Plastic
90,Smart Air Quality Monitor,2,Wi-Fi enabled air quality monitor,99.99,100,Supplier BBBB,Manufacturer BBBB,12 months,SAQM-01,2025-09-20,150x100x50 mm,300g,White,Plastic
91,Smart Water Heater,2,Wi-Fi enabled smart water heater,399.99,40,Supplier CCCC,Manufacturer CCCC,24 months,SWH-01,2025-09-25,400x300x800 mm,25kg,White,Metal
92,Smart Garden Light,2,Wi-Fi enabled garden light with solar panel,49.99,200,Supplier DDDD,Manufacturer DDDD,12 months,SGL-01,2025-10-01,100x100x300 mm,500g,Black,Plastic
93,Electric Pressure Washer,2,Electric pressure washer with 1500W motor,199.99,60,Supplier EEEE,Manufacturer EEEE,12 months,EPW-1500,2025-10-05,400x300x800 mm,10kg,Black,Metal
94,Smart Fan,2,Wi-Fi enabled fan with remote control,99.99,80,Supplier FFFF,Manufacturer FFFF,24 months,SF-01,2025-10-10,400x400x1200 mm,5kg,White,Plastic
95,Electric Steam Mop,2,Electric steam mop with 2-in-1 functionality,129.99,100,Supplier GGGG,Manufacturer GGGG,12 months,ESM-2IN1,2025-10-15,300x150x1200 mm,4kg,White,Plastic
96,Smart Thermometer,1,Smart thermometer with Bluetooth connectivity,29.99,200,Supplier HHHH,Manufacturer HHHH,12 months,ST-01,2025-10-20,150x50x30 mm,100g,White,Plastic
97,Electric Juicer,2,Electric juicer with 1L capacity,99.99,80,Supplier IIII,Manufacturer IIII,12 months,EJ-1L,2025-10-25,300x200x300 mm,3kg,Silver,Plastic
98,Smart Home Assistant,1,Voice-controlled smart home assistant,149.99,70,Supplier JJJJ,Manufacturer JJJJ,24 months,SHA-01,2025-11-01,100x100x200 mm,500g,Black,Plastic
99,Smart Alarm Clock,1,Wi-Fi enabled alarm clock with app control,49.99,150,Supplier KKKK,Manufacturer KKKK,12 months,SAC-01,2025-11-05,150x100x50 mm,300g,Black,Plastic
100,Electric Slow Cooker,2,Electric slow cooker with 6L capacity,79.99,70,Supplier LLLL,Manufacturer LLLL,12 months,ESC-6L,2025-11-10,350x350x300 mm,5kg,Black,Metal
101,Smart Power Strip,1,Wi-Fi enabled power strip with surge protection,49.99,150,Supplier MMMM,Manufacturer MMMM,24 months,SPS-01,2025-11-15,300x100x50 mm,600g,White,Plastic
102,Electric Grill Pan,2,Electric grill pan with non-stick surface,59.99,120,Supplier NNNN,Manufacturer NNNN,12 months,EGP-01,2025-11-20,400x300x100 mm,2kg,Black,Metal
103,Smart Home Hub,1,Smart home hub with voice control,199.99,80,Supplier OOOO,Manufacturer OOOO,24 months,SHH-01,2025-11-25,150x150x50 mm,700g,Black,Plastic
104,Electric Blanket Pro,2,Electric blanket with dual temperature control,99.99,100,Supplier PPPP,Manufacturer PPPP,12 months,EBP-01,2025-12-01,2000x1800 mm,2.5kg,Blue,Textile
105,Smart Water Bottle,3,Smart water bottle with hydration reminders,49.99,200,Supplier QQQQ,Manufacturer QQQQ,12 months,SWB-01,2025-12-05,250x70x70 mm,300g,White,Plastic
106,Electric Ice Cream Maker,2,Electric ice cream maker with 1.5L capacity,89.99,60,Supplier RRRR,Manufacturer RRRR,12 months,EIM-1.5L,2025-12-10,300x300x350 mm,3.5kg,Silver,Plastic
107,Smart Light Bulb,1,Wi-Fi enabled smart light bulb with RGB colors,29.99,300,Supplier SSSS,Manufacturer SSSS,24 months,SLB-RGB,2025-12-15,60x60x120 mm,200g,White,Plastic
108,Electric Pizza Oven,2,Electric pizza oven with 12-inch capacity,149.99,80,Supplier TTTT,Manufacturer TTTT,12 months,EPO-12,2025-12-20,400x400x200 mm,5kg,Black,Metal
109,Smart Window Shade,2,Wi-Fi enabled smart window shade,99.99,90,Supplier UUUU,Manufacturer UUUU,24 months,SWS-01,2026-01-01,2000x1500 mm,3kg,White,Textile
110,Electric Hot Plate,2,Electric hot plate with adjustable temperature,49.99,150,Supplier VVVV,Manufacturer VVVV,12 months,EHP-01,2026-01-05,300x300x100 mm,2kg,Black,Metal
111,Smart Pressure Cooker,2,Wi-Fi enabled smart pressure cooker with 6L capacity,179.99,70,Supplier WWWW,Manufacturer WWWW,24 months,SPC-6L,2026-01-10,350x350x350 mm,6kg,Silver,Metal
112,Electric Waffle Maker,2,Electric waffle maker with non-stick surface,59.99,120,Supplier XXXX,Manufacturer XXXX,12 months,EWM-01,2026-01-15,300x300x150 mm,3kg,Black,Metal
113,Smart Pet Collar,3,Smart pet collar with GPS tracking,79.99,150,Supplier YYYY,Manufacturer YYYY,12 months,SPC-01,2026-01-20,400x50x20 mm,150g,Black,Plastic
114,Electric Kettle Pro,2,Electric kettle with temperature control,79.99,200,Supplier ZZZZ,Manufacturer ZZZZ,12 months,EKP-01,2026-01-25,250x250x300 mm,1.5kg,Silver,Metal
115,Smart Oven Pro,2,Smart oven with Wi-Fi and app control,799.99,40,Supplier AAAA1,Manufacturer AAAA1,24 months,SOP-01,2026-02-01,600x600x900 mm,40kg,Black,Metal
116,Electric Skillet,2,Electric skillet with non-stick surface,69.99,100,Supplier BBBB1,Manufacturer BBBB1,12 months,ES-01,2026-02-05,400x300x100 mm,2.5kg,Black,Metal
117,Smart Home Security System,1,Complete smart home security system with app control,299.99,60,Supplier CCCC1,Manufacturer CCCC1,24 months,SHSS-01,2026-02-10,500x400x200 mm,5kg,White,Plastic
118,Electric Space Heater,2,Electric space heater with adjustable thermostat,59.99,150,Supplier DDDD1,Manufacturer DDDD1,12 months,ESH-01,2026-02-15,400x200x500 mm,4kg,Black,Metal
119,Smart Coffee Maker Pro,2,Wi-Fi enabled coffee maker with grinder and app control,249.99,50,Supplier EEEE1,Manufacturer EEEE1,24 months,SCMP-01,2026-02-20,300x250x400 mm,6kg,Black,Plastic
120,Electric Popcorn Maker,2,Electric popcorn maker with 1L capacity,39.99,200,Supplier FFFF1,Manufacturer FFFF1,12 months,EPM-1L,2026-03-01,300x300x400 mm,2kg,Red,Plastic
121,Smart Bike Computer,1,Smart bike computer with GPS and app sync,129.99,90,Supplier GGGG1,Manufacturer GGGG1,12 months,SBC-01,2026-03-05,100x50x20 mm,150g,Black,Plastic
122,Electric Yogurt Maker,2,Electric yogurt maker with 1L capacity,49.99,150,Supplier HHHH1,Manufacturer HHHH1,12 months,EYM-1L,2026-03-10,200x200x300 mm,2kg,White,Plastic
123,Smart Light Switch Pro,1,Wi-Fi enabled light switch with dimmer,49.99,200,Supplier IIII1,Manufacturer IIII1,24 months,SLSP-01,2026-03-15,120x70x40 mm,150g,White,Plastic
124,Electric Hedge Trimmer,2,Electric hedge trimmer with 18-inch blade,99.99,80,Supplier JJJJ1,Manufacturer JJJJ1,12 months,EHT-18,2026-03-20,1000x200x150 mm,4kg,Black,Metal
125,Smart Garage Door Controller,2,Wi-Fi enabled garage door controller,199.99,60,Supplier KKKK1,Manufacturer KKKK1,24 months,SGDC-01,2026-03-25,300x200x100 mm,3kg,Black,Metal
126,Electric Blanket XL,2,Extra large electric blanket with dual control,129.99,70,Supplier LLLL1,Manufacturer LLLL1,12 months,EBXL-01,2026-04-01,2200x2000 mm,3kg,Blue,Textile
127,Smart Ceiling Fan,2,Wi-Fi enabled ceiling fan with remote control,249.99,50,Supplier MMMM1,Manufacturer MMMM1,24 months,SCF-01,2026-04-05,1400x1400x400 mm,6kg,White,Metal
128,Electric Food Steamer,2,Electric food steamer with 3-tier capacity,69.99,90,Supplier NNNN1,Manufacturer NNNN1,12 months,EFS-3T,2026-04-10,300x300x400 mm,4kg,Silver,Plastic
129,Smart Water Heater Pro,2,Wi-Fi enabled water heater with app control,499.99,40,Supplier OOOO1,Manufacturer OOOO1,24 months,SWHP-01,2026-04-15,500x400x900 mm,30kg,White,Metal
130,Electric Food Processor,2,Electric food processor with 12-cup capacity,129.99,100,Supplier PPPP1,Manufacturer PPPP1,12 months,EFP-12,2026-04-20,400x300x400 mm,5kg,Black,Plastic
131,Smart Garden Controller,2,Wi-Fi enabled garden controller with app control,149.99,70,Supplier QQQQ1,Manufacturer QQQQ1,24 months,SGC-01,2026-04-25,300x200x100 mm,2kg,White,Plastic
132,Electric Cheese Grater,2,Electric cheese grater with stainless steel blades,39.99,150,Supplier RRRR1,Manufacturer RRRR1,12 months,ECG-01,2026-05-01,200x100x100 mm,1kg,Silver,Plastic
133,Smart Smoke Detector,1,Wi-Fi enabled smoke detector with app alerts,49.99,200,Supplier SSSS1,Manufacturer SSSS1,24 months,SSD-01,2026-05-05,120x120x40 mm,300g,White,Plastic
134,Electric Shoe Polisher,2,Electric shoe polisher with dual brushes,59.99,100,Supplier TTTT1,Manufacturer TTTT1,12 months,ESP-01,2026-05-10,200x150x200 mm,2kg,Black,Plastic
135,Smart Lock Pro,1,Wi-Fi enabled smart lock with keypad and app control,199.99,90,Supplier UUUU1,Manufacturer UUUU1,24 months,SLP-01,2026-05-15,150x70x50 mm,800g,Silver,Metal
136,Electric Hair Straightener,3,Electric hair straightener with ceramic plates,39.99,200,Supplier VVVV1,Manufacturer VVVV1,12 months,EHS-01,2026-05-20,300x30x30 mm,400g,Black,Plastic
137,Smart Home Thermostat,2,Wi-Fi enabled smart thermostat with app control,249.99,70,Supplier WWWW1,Manufacturer WWWW1,24 months,SHT-01,2026-05-25,150x150x50 mm,400g,White,Plastic
138,Electric Air Fryer Pro,2,Electric air fryer with 5L capacity and digital display,199.99,60,Supplier XXXX1,Manufacturer XXXX1,12 months,EAFP-5L,2026-06-01,400x300x400 mm,5kg,Black,Plastic
139,Smart Doorbell Pro,1,Wi-Fi enabled doorbell with camera and two-way audio,149.99,80,Supplier YYYY1,Manufacturer YYYY1,24 months,SDP-01,2026-06-05,150x70x40 mm,400g,White,Plastic
140,Electric Meat Grinder,2,Electric meat grinder with stainless steel blades,99.99,90,Supplier ZZZZ1,Manufacturer ZZZZ1,12 months,EMG-01,2026-06-10,400x200x300 mm,4kg,Silver,Metal
141,Smart Bed Pro,2,Wi-Fi enabled smart bed with sleep tracking,999.99,30,Supplier AAAA2,Manufacturer AAAA2,24 months,SBP-01,2026-06-15,2200x2000x500 mm,100kg,Black,Textile
142,Electric Window Cleaner,2,Electric window cleaner with vacuum suction,79.99,150,Supplier BBBB2,Manufacturer BBBB2,12 months,EWC-01,2026-06-20,300x150x300 mm,3kg,White,Plastic
143,Smart Water Filter,2,Wi-Fi enabled water filter with app notifications,129.99,70,Supplier CCCC2,Manufacturer CCCC2,24 months,SWF-01,2026-06-25,400x300x400 mm,5kg,White,Plastic
144,Electric Heated Towel Rack,2,Electric heated towel rack with timer,149.99,60,Supplier DDDD2,Manufacturer DDDD2,12 months,EHTR-01,2026-07-01,600x400x1200 mm,10kg,Silver,Metal
145,Smart Baby Stroller,3,Smart baby stroller with GPS tracking and app control,499.99,40,Supplier EEEE2,Manufacturer EEEE2,24 months,SBS-01,2026-07-05,1200x800x1000 mm,15kg,Black,Textile
146,Electric Dehumidifier,2,Electric dehumidifier with 20L capacity,199.99,90,Supplier FFFF2,Manufacturer FFFF2,12 months,EDH-20L,2026-07-10,400x300x600 mm,12kg,White,Plastic
147,Smart Blender,2,Wi-Fi enabled blender with app control,149.99,80,Supplier GGGG2,Manufacturer GGGG2,24 months,SB-01,2026-07-15,300x300x400 mm,4kg,Black,Plastic
148,Electric Pasta Maker,2,Electric pasta maker with adjustable thickness,99.99,70,Supplier HHHH2,Manufacturer HHHH2,12 months,EPM-01,2026-07-20,400x200x300 mm,4kg,Silver,Metal
149,Smart Garden Sprinkler,2,Wi-Fi enabled garden sprinkler with app control,99.99,90,Supplier IIII2,Manufacturer IIII2,24 months,SGS-01,2026-07-25,400x400x300 mm,3kg,Green,Plastic
150,Electric Standing Desk,2,Electric standing desk with adjustable height,399.99,50,Supplier JJJJ2,Manufacturer JJJJ2,24 months,ESD-01,2026-08-01,1400x800x1200 mm,30kg,Black,Metal
